Zone Number,Zone Name,Defense Time
גליל עליון 37,"עין המפרץ,שמרת,עכו,נס עמים,בית העמק,ג'דידה מכר,בוסתן הגליל,שייח' דנון,נתיב השיירה,כפר מסריק",30 שניות
גליל עליון 38,"ג'וליס,גיתה,כפר יאסיף,אשרת,כליל,טל אל,לפידות,ירכא,עמקה",30 שניות
גליל עליון 40,"תובל,פלך,כישור",30 שניות
גליל עליון 41,"יאנוח ג'ת,מגדל תפן,כיסרא סומיע",30 שניות
גליל עליון 42,"צורית,ביענה,מג'ד אל כרום,ראמה,כרמיאל,שזור,סאג'ור,גילון,שגור,לבון,קובסי,נחף,דייר אל אסד,עין אל אסד",30 שניות
גליל עליון 43,"בית ג'ן,חלוץ,חרשים",30 שניות
גליל עליון 44,"מרכז אזורי מרום הגליל,שפר,כפר שמאי,אור הגנוז,קדיתא,מירון,פרוד,חמדת ימים,בר יוחאי,אמירים,עין כמונים",30 שניות
גליל עליון 47,"יסוד המעלה,גדות,איילת השחר,חולתה,עמוקה,משמר הירדן,שדה אליעזר",30 שניות
גליל עליון 49,"ביריה,צפת",30 שניות
גליל עליון 50,"אליפלט,מחניים,טובא זנגריה,ורד הגליל,אמנון,חצור הגלילית,כפר נחום,כפר הנשיא,ראש פינה,כרכום,אלמגור,כרי דשא,עמיעד,כורזים",30 שניות
גליל תחתון 55,"ארבל,לבנים,רביד,חמאם,גינוסר,חוקוק,כחל,מגדל,כפר זיתים,כפר חיטים",דקה
גליל תחתון 56,"טבריה,מצפה",דקה
גליל תחתון 57,"עיילבון,מסד,קדרים,כפר חנניה,מגאר,טפחות,בועיינה נוג'יידאת,עינבר,מצפה נטופה,כלנית",דקה
גליל תחתון 60,"צביה,תרדיון,אשחר,אבטליון,מורן,ראס אל עין,כמון,ערב אזונר,דייר חנא,הררית,כמאנה,עראבה,לוטם,חזון,סלמה,סח'נין,מכמנים,חוסנייה,אשבל,חוג'ייראת,יחד",דקה
גליל תחתון 61,"רומת היב,רומאנה,בית רימון,עוזייר",דקה
גליל תחתון 63,"כאבול,אלון הגליל,כאוכב אבו אל היגא,אעבלין,עדי,שעב,יובלים,חנתון,ביר אל מכסור,אום א סח'אלי,שפרעם,נופית,מרכז אזורי מישגב,מורשת,יעד,יסעור,טמרה,קורנית,ערב אל סמניה,ערב אל נעים,ערב אל סגיראת,מנוף,אתגר,סואעד,מצפה אבי""ב,ראס עלי,עצמון שגב,שורשים,שכניה,רקפת,אבו דיאב,דמיידה,יבור,ח'ואלד,יודפת,הרדוף,ערב אל גנאדי,אחיהוד,כפר מנדא",דקה
דן 155,"הכפר הירוק,כפר שמריהו,גליל ים,הרצליה,רמת השרון",דקה וחצי
דן 160,"רמת גן,חוות שלם,פתח תקווה,גבעתיים,גבעת שמואל,בני ברק",דקה וחצי
דן 161,"מעש,סביון,רמת אפעל,קרית אונו,נווה אפעל,יהוד מונוסון,גני תקווה,אור יהודה,כפר אז""ר",דקה וחצי
דן 162,"מקווה ישראל,אזור,חולון,בת ים",דקה וחצי
הקריות 70,"כפר ביאליק,קרית ים,אזור תעשייה נעמן,קרית חיים,קרית שמואל,קרית ביאליק,קרית מוצקין",דקה
הקריות 71,"כפר המכבי,כפר הנוער הדתי,אל ח'וואלד מערב,כפר חסידים א',כפר חסידים ב',רכסים,אבטין,רמת יוחנן,קרית אתא,אושה,אפק,רומיחאת,יגור,סרכיס",דקה
חיפה 75,"החותרים,חיפה,טירת כרמל,כפר גלים",דקה
יהודה 188,"תרקומיא,אום עלאס,בית אולא,תלם,נובא,אל קילא,א דיר במערב הר חברון,ח'ראס",דקה וחצי
יהודה 200,"בווידיעה,ביאדה בהר חברון,בית תעמר,ח'רזאן,זעתרה,חרמלה,בית רחאל,בד פלוח,מצד שמעון,מעסרה,ערב א שמעה,ארטאס,ברד'עה,מעלה עמוס,עבדאללה איברהים,ג'וב א רום,ג'והזם,ג'ורת א שמעה,עילת עלי,עובידייה,מיניה,מראח רבאח,ראס סניסיל,ד'הר חלת אל ג'אמיע,א דיר במזרח הר חברון,כפר אלדד,תקוע,תעמרה,אבו נוג'ים,תוקוע,אום א טלע,אום סלמונה,ואדי אל עראיס,אום עסלה,אספר,אל ח'דר,נוקדים,חוג'ילה,אספר,דהיישה מחנה פליטים,רפידא",דקה וחצי
יהודה 206,"בית פג'אר,אפרתה,ראש צורים,חוסאן,א שויוח,אלעזר,ג'בעה,ג'אלא,בתיר,חלחול,בת עין,אלון שבות,אלון שבות,אל ערוב,כוויזבא,בית אומר,מגדל עוז,כפר עציון,ביתר עילית,מועסכר אל ערוב,בית כאחיל,כרמי צור,חסכה,בית סכריא,ואדי פוכין,סיעיר,נחאלין,מראח אל בקר,עבדאללה איברהים,נווה דניאל,הר גילה,ח'ירבת ספא,סוריף",דקה וחצי
יהודה 207,"סוסיה,בית עמרה,אל פוואר,אל קוסור,יטא יוטה,דומא במרכז שומרון,בית עינון,רוקעה,דהרייה,אפיניש,זיף,ח'שם אל כרם,פני חבר,ראפאת ליד סמוע,ראבוד,דורא,קרית ארבע,סימיא,מג'ד,טנא,סובא,קילקיס,קוואעין,עווד,לב יתיר,כרמל,א דיראת,א טבקה,א טוואני,תראמה,נגוהות,תפוח,א ריחייה,כעאבנה,הר עמשא,אדורה,דיר ראזח,אל עלקה אל פוקא,שני ליבנה,ואדיח,שמעה,שייח' אחמד אל עבד,שוויכה בהר חברון,אימריש,כרזה,אל הג'רה,אל חדב,אל מאג'ור,כרמיל,אל מראג'ם,דיר סאמת,סמוע,רוג'ם אום ח'יר,מעון,פוקיקיס,עבדה,מצדות יהודה,ח'רסה,ח'ירבת זיתא,עתניאל,ענאב אל כביר,חברון,ח'ירבת כרמה,ג'רון א לוז,מעין,עוזיז,חגי,בני נעים",דקה וחצי
ים המלח 207,"מצדה,עין גדי,נווה זוהר,ים המלח בתי מלון,עין בוקק",דקה וחצי
ים המלח 210,"מצפה שלם,אבנת,מצוקי דרגות",דקה וחצי
ירושלים 194,"ענאתא,ירושלים,אבו דיס,דיר כרמיזן,חיזמא,בית חנינא,ירושלים,אל ולג'ה,ביר נבאלה,בית איכסא,א זעיים,רמת רחל",דקה וחצי
כרמל 81,"ימין אורד,עין כרמל,עתלית,ניר עציון,בית צבי,מגדים,גבע כרמל,עין חוד,עין הוד,נווה ים",דקה
כרמל 82,"עספיא,גבעת וולפסון,דאלית אל כרמל,בית אורן",דקה
מנשה 102,"עין איילה,כרם מהר""ל,נחשולים,מרכז מיר""ב,דור,פוריידיס,מעיין צבי,עופר,בת שלמה,הבונים,זכרון יעקב,צרופה,מאיר שפיה",דקה וחצי
מנשה 103,"ג'ועארה,גלעד,יוקנעם עילית,מגידו,דליה,עין העמק,עין השופט,משמר העמק,הזורע,רמת השופט,רמות מנשה,אליקים,יוקנעם,מדרך עוז",דקה וחצי
מנשה 104,"בית חנניה,מעגן מיכאל,אלוני יצחק,בנימינה גבעת עדה,רגבים,ג'סר א זרקא,כפר גליקסון,אביאל,עמיקם,גבעת ניל""י",דקה וחצי
מנשה 105,"קיסריה,שדות ים,אור עקיבא",דקה וחצי
מנשה 106,"כפר פינס,נווה אבות,משמרות,פרדס חנה כרכור,עין עירון,גן השומרון,עין שמר",דקה וחצי
מנשה 108,"שדה יצחק,מאור,גבעת חביבה,שער מנשה,תלמי אלעזר,גן שמואל,מענית",דקה וחצי
מעלה אדומים 200,"קדר,עיזרייה,מעלה אדומים,ג'האלין",דקה וחצי
נגב 287,"אבו כף אום בטין,אבו טראש,אבו ג'אבר,עומר,אבו סריחאן,אבו עבדון,אל אסד,אבו עסא,אבו עמרה,אבו רוקייק,לקיה,תל שבע",דקה וחצי
נגב 296,"אבו ג'אבר דרומית ממיתר,סנסנה,כרמים,כרמית,חורה,עוקבי,א נבארי,מולדה,אל עטאונה,מיתר,אעצם,א סייד",דקה וחצי
נגב 297,"שגב שלום,נבטים,אל חמידי,אבו קוידר אל עפאוי דרומית לנבטים,ביר אבו אל חמאם,אל עת'אמין,אבו תלול",דקה וחצי
נגב 299,"קודייראת א צאנה,נצאצרה,ערערה בנגב,קבועה,קשכר נבארי,ערד,מכחול,א דהאבשה,אבו קרינאת,אל עביד,אל קשכר,כוחלה,זבארגה,אבו רביעה צפונית לכסיפה,אבו רביעה,אבו קרינאת מערבית לכסיפה,אל קרעאן דרומית לערד,אבו ג'ווייעד,אבו ג'ודה,כסיפה,אל קרישי,ג'נאביב,אל קורעאן ב,אל קרעאן,דריג'את,אל ג'נאמי,אל ג'וויני",דקה וחצי
נגב 300,"אל ולידי,א דנפירי,תראבין א צאנה שבט,עזאזמה,עזאזמה דרומית לרמת חובב,עזאזמה דרומית לשגב שלום,עזאזמה מזרחית לרמת חובב,אבו עפאש,אל ג'רג'אווי,אל כלאב,רמת חובב",דקה וחצי
נגב 301,"אורון,אל עמראני דרום מערב לדימונה,אל ע'ול צפונית לדימונה,הוואשלה,רח'מה,ירוחם,קסר א סיר,קרנב אבו סלב,אל מחד'י צפונית לדימונה,דימונה",דקה וחצי
נגב 302,"רביבים,ניצני סיני,ניצנה כפר נוער,שיבטה,מעלה שביט,באר מילכה,רוח במדבר,קציעות,ביר הדאג',כמהין,ראם תשלובת חקלאית,טללים,עזוז,אשלים,משאבי שדה,רתמים",דקה וחצי
נגב 305,"מצפה רמון,מרחב עם,שלווה במדבר,מדרשת בן גוריון,שדה בוקר",דקה וחצי
עוטף עזה 217,"כרמיה,זיקים",15 שניות
עוטף עזה 218,"יד מרדכי,נתיב העשרה",15 שניות
עוטף עזה 219,"אור הנר,ארז",15 שניות
עוטף עזה 220,"שדרות,איבים,מכללת ספיר,גבים,ניר עם",15 שניות
עוטף עזה 223,"כפר עזה,סעד",15 שניות
עוטף עזה 224,"נחל עוז,עלומים",15 שניות
עוטף עזה 225,"זמרת,כפר מימון,שוקדה,תושיה,חוות יזרעם,תקומה,שובה",15 שניות
עוטף עזה 231,"עין השלושה,נירים",15 שניות
עוטף עזה 233,"מגן,מפעלי מעון,מועצה אזורית אשכול,עין הבשור",15 שניות
עוטף עזה 234,"מבטחים,עמיעוז,ישע",15 שניות
עוטף עזה 236,"סופה,ניר יצחק,חולית",15 שניות
עוטף עזה 238,"דקל,אבשלום,שדי אברהם,פרי גן,יתד,תלמי יוסף,יבול",15 שניות
עירון 112,"אל מועלקה,אל עריאן,כפר קרע,מנסורה,מצפה אילן,דאר אל חנון,ברקאי,ד'הר אל עבד,אום אל קוטוף,ערערה,קציר חריש,ח'ירבת אל עכאבה,ריחן",דקה וחצי
עירון 113,"אום אל פחם,מי עמי,ח'ירבת מועאוויה,בסמ""ה,מעלה עירון,גבעת עוז",דקה וחצי
עמק חפר 137,"חרב לאת,גבעת חיים מאוחד,חגלה,חיבת ציון,כפר הרא""ה,גבעת חיים איחוד,בית חזון,אליכין,עין החורש,אלישיב",דקה וחצי
עמק חפר 139,"עזריאל,חרות,עין ורד,רמת הכובש,טייבה,עין שריד,משמרת,שדה ורבורג,אילנות,כפר הס,צור משה,בית ברל,יעף,צור יצחק,צור יגאל,טירה,שער אפרים,כפר עבודה,ניר אליהו,קדימה צורן,בני דרור,צור נתן,גאולים,פרדסיה,קלנסווה,תל מונד,אייל,כפר יעבץ,פורת,כוכב יאיר",דקה וחצי
עמק חפר 149,"מייסר,זמר,זיתא ליד באקה אל ע'רביה,מגל,באקה ג'ת,אומץ,באקה אל ע'רביה,להבות חביבה,מצר,אחיטוב,נזלת עיסא,בחן,המעפיל,ג'ת",דקה וחצי
עמק חפר 150,"חניאל,העוגן,בית הלוי,עולש,ניצני עוז,כפר מונש,כפר יונה,ינוב,גן יאשיה,יד חנה,תנובות,בורגתה,בארותיים,בת חפר",דקה וחצי
עמק יזרעאל 86,"כפר תקווה,שער העמקים,אלונים,בסמת טבעון,אורנים,קרית טבעון,בית זיד",דקה
עמק יזרעאל 87,"שריד,ערב אל עיסאת,אלוני אבא,שדה יעקב,בית שערים,רמת ישי,כפר יהושע,כעביה טבאש חג'אג'רה,תמרת,עילוט,גבעת אלה,גבת,מנשית זבדה,גיניגר,נהלל,נווה יער,מגדל העמק,רמת דוד,שמשית,בית לחם הגלילית,יפעת",דקה
עמק יזרעאל 89,"היוגב,כפר ברוך",דקה
עמק יזרעאל 90,"דברת,עפולה,מפעלי גלבוע,נין,עין חרוד איחוד,סולם שונם,מרחביה קיבוץ,דחי,נורית,נאעורה,מרחביה מושב,עין חרוד מאוחד,אחוזת ברק,טמרה יזרעאל",דקה
עמק יזרעאל 93,"צנדלה,טייבה ליד מולדת,מלאה,אביטל,אומן,פרזון,מגן שאול,תל יוסף,כפר יחזקאל,יעל,מוקייבלה,ניר יפה,חבר,גבע,ברק,דבורה,רם און,אדירים,רמת צבי,יזרעאל,מיטב,גדעונה,גדיש,גן נר",דקה
ערבה 310,"קטורה,נאות סמדר,אליפז,באר אורה,חצבה,ספיר,נאות הכיכר,שחרות,צוקים,נווה חריף,פארן,גרופית,יטבתה,עידן,עיר אובות,עין תמר,לוטן,יהל,עין יהב,עין חצבה,צופר,סמר",3 דקות
קו העימות 14,"שלומי,לימן,כפר ראש הנקרה,בצת,מצובה",מיידי
קו העימות 15,"ג'ורדיח,אידמית,אדמית,א נוואקיר,יערה,עראמשה,גורנות הגליל,אילון,חניתה,גורן",מיידי
קו העימות 16,"שתולה,אבן מנחם,שומרה,זרעית",מיידי
קו העימות 17,"נטועה,אלקוש,פסוטה,אבירים",מיידי
קו העימות 19,"דוב""ב,מתת,סאסא",מיידי
קו העימות 20,"פקיעין חדשה,פקיעין,צוריאל,צבעון,חורפיש",מיידי
קו העימות 22,"ברעם,אביבים,יראון",מיידי
קו העימות 23,"דלתון,ג'יש,כרם בן זמרה,ריחאנייה,עלמה",מיידי
קו העימות 24,"יפתח,רמות נפתלי,מלכיה,מרכז כ""ח,דישון",מיידי
קו העימות 25,"כפר בלום,גונן,שדה נחמיה,כפר סאלד,עמיר,שמיר,נאות מרדכי,להבות הבשן",מיידי
קו העימות 26,"משגב עם,מטולה,קרית שמונה,מרגליות,מעיין ברוך,מנרה,תל חי,יובל,בית הלל,כפר גלעדי",מיידי
קו העימות 28,"שאר ישוב,דפנה,הגושרים,שניר,ע'ג'ר,דן",מיידי
קו העימות 29,"עברון,סער,גשר הזיו,שבי ציון,נהריה",מיידי
קו העימות 30,"בן עמי,כברי",מיידי
קו העימות 31,"געתון,מנות,נווה זיו,עבדון,עין יעקב,יחיעם",מיידי
קו העימות 32,"כפר ורדים,הילה,מעונה,מעלות תרשיחא,מעיליא,חוסן",מיידי
קצרין 10,"האון,שער הגולן,תל קציר,מעגן,עין גב,רמות,מסדה",15 שניות
קצרין 7,"חד נס,כנף,שעל,א סלבה,אניעם,מעלה גמלא,קצרין,קלע,קדמת צבי",15 שניות
שומרון 118,"נזלה א שרקיה,טורה על ע'רביה,נזלת זיד,חיננית,אום א ריחאן,כופיראת,פיראסין,שקד,זיבדה,תיעניכ,חרמש,סילת אל ח'רית'יה,זובובא,עראבה ליד ג'נין,כפר קוד,עאנין,ערקה,רומאנה ממזרח לאום אל פחם,קפין,ח'ירבת א טורם,מנשיה,ח'ירבת א טייבה,בורקין,יעבד,כפר דאן,תעשיון שח""ק,אום דאר,מבוא דותן,יאמון,האשימיה",דקה וחצי
שומרון 119,"תיאסיר,עקבה בשומרון,עקבת תיאסיר,עטארה,עג'ה,זבאבידה,זאוויה בצפון שומרון,ניסף ג'וביל,עראנה,עילאר,איג'ניסיניא,מית'לון,תנין,טלוזה,ח'ירבת אל עקרבאניה,עאבה,אל מוע'ייר,בית אומרין,א שהאדה,נזלה אל ווסטא,מסיליה,נזלת אבו נאר,נזלה אל ע'רביה,ג'לקמוס,רמה,ג'נין,כופיר,תלפית,ג'למה,עין אל בידא,ענבתא,ענזה,עסירה א שמאליה,ג'לבון,כפר א לבד,ג'בע,ג'רבה,ג'ודידה,ח'ירבת בית חסן,בלעא,כפר רומאן,פנדקומיה,באקה א שרקיה,סאנור,ערבונה,טובאס,פקועה,טול כרם,אום א תות,נור א שמס,ראבא,טמון,אירתאח,מוח'יים פארעה,דנאבה,דיר אל ע'וסון,איכתאבא,שוויכה,כשדה,קבאטיה,דיר ע'זאלה,בורקה ליד שכם,בזאריה,פחמה,משרוע בית קאד,דיר אבו דעיף,כפר ראעי,עתיל,אקרע,בית קאד,אל מוטילה,סיר,יאסיד,סיריס,מירכה,ואדי א דבע,אל ג'ארושיה,סידא,סילת א דהר",דקה וחצי
שומרון 120,"קוסין,אימאתין,שופה,בורין,עינאבוס,אבני חפץ,שבי שומרון,אל פונדוק,ג'וניד,בית איבא,בית וזן,בית א אל פוקא,בלאטה,א ראס,ביתא א תחתא,תל,עיראק בורין,באקה,בית פוריכ,ענב,פלאמה,עסירה אל קיבליה,בית דג'ן,עסכר,רפידיה,קדומים,רוג'ייב,שכם,ראמין,אלון מורה,איתמר,עקרבה,פרעון,פרעתה,קוזה,בית ליד,אודלה,ברכה,עוסארין,הר גריזים,זיתא,כפר קדום,דיר אל חטב,כפר סור,נאקורה,ח'ירבת סיר,ג'מאעין,כור,חוות גלעד,סבסטיה,סאלם,כפר עבוש,עזמוט,עוריף,חג'ה,כפר קליל,יצהר,עין יאנון,עוורתא,זוואתא,ג'יוס,כפר ג'מאל,ספארין,ח'וארה,סלעית,כפר זיבאד,סרה,גבעת סנה יעקב,ג'ית,מג'דל,יאנון,דיר שרף,מדמא",דקה וחצי
שומרון 121,"בידיה,צופין,סניריא,עץ אפרים,אל מודוור,כפר ת'ולת,יקיר,מסחה,קרני שומרון,סרטא,שערי תקווה,אלפי מנשה,עזון,נופים,קלקיליה,אבו סלמאן,בית אמין,קראות בני חסן,ח'ירבת אל אשקר,כפר לאקף,מעלה שומרון,דיר איסתיא,א שייח' אחמד,ג'ינסאפוט,ח'ירבת ראס א טירה,ח'ירבת ראס עטיה,עמנואל,עזון עתמה,אלקנה,ח'ירבת א נבי אליאס,ח'ירבת עסלה",דקה וחצי
שומרון 122,"קירה,אריאל,עין אל מטווי,סלפית,רבבה,כיפל חארת,מרדה,ברקן,חארס,קרית נטפים,פרח'ה",דקה וחצי
שומרון 123,"פדואל,ראפאת ליד פדואל,רנתיס,זאוויה,עופרים,דיר בלוט,בית אריה,עלי זהב,א לובאן,ברוכין",דקה וחצי
שומרון 124,"ג'ילג'יליא,כפר א דיכ,דיר אבו משעל,ג'יביא,מעלה לבונה,קראות בני זיד,כובר,ח'ירבת קיס,עמוריה,סאוויה,עטרת,עטארה ליד ביר זית,דיר א סודאן,בורהאם,כפר עין,בורוקין,בית רימא,דיר ניזאם,דיר ע'סאנה,מזאריע א נובאני,ערורה,יאסוף,סינג'יל,נבי סאלח,עאבוד,חלמיש,עבווין,עג'ול,אום ספא,כפר תפוח,איסכאכא,לובאן שרקיה",דקה וחצי
שומרון 125,"כפר מאליכ,קבלאן,קריות,קוסרה,דיר דיבוואן,דיר ג'ריר,מוח'מאס,יתמא,טייבה ליד עפרה,עלי,תורמוס עייא,ג'אלוד,מזרעה א שרקיה,רחלים,סילואד,תלפית במרכז השומרון,שבות רחל,אזור תעשייה שער בנימין,שילה,עפרה,ח'ירבת אבו פלאח,רמון,ג'וריש,מגדלים",דקה וחצי
שומרון 126,"כפר ניעמה,ח'ירבת א טירה,כוכב יעקב,כפר עקב,דיר איבזיע,קלנדיה,א ראם,ביר זית,אבו שח'ידם,אבו קש,יברוד,שוקבא,טלמון,בורקה,טירה ליד בית חורון,אל בירה,דיר עמאר,דיר קדיס,מזרעה אל קיבליה,שבתין,ראפאת ליד גבעת זאב,ח'ירבתא,ח'ירבת אל מיסבאח,רמאללה,בילעין,נחליאל,עין יברוד,קיביא,בית ליקיא,בית סירא,בית ע'ור א תחתא,בית ע'ור אל פוקא,פסגות,סורדה,ביתוניא,ביתילו,ביתין,נעלה,ספא,ג'פנא,ג'מאלא,עין איוב,ג'לזון,ג'אניה,עין קיניא,ג'בע מצפון לירושלים,עין עריכ,עין סיניא,גבעת אסף,בית חורון,ראס כרכר,בית איענאן,דולב,דורא אל קריע,בית אל,בית דוקו,ניל""י",דקה וחצי
שומרון 127,"נבי סמואל,בית איג'זא,גבעת זאב,ג'ודירה,גבעון החדשה,ג'יב",דקה וחצי
שפלה 168,"כפר סירקין,גבעת השלושה,גת רימון,פתח תקווה,תעשיון השרון",דקה וחצי
שפלה 169,"נופך,אלעד,גבעת כ""ח,בני עטרות,מגשימים,נחלים,בארות יצחק,מזור,רינתיה,נחשונים",דקה וחצי
שפלה 170,"ראש העין,עינת",דקה וחצי
שפלה 173,"בית נחמיה,טירת יהודה,מרכז שוהם,שוהם,חדיד,בית עריף,ברקת",דקה וחצי
שפלה 174,"חמד,בית דגן,אחיעזר,גנות,משמר השבעה,צפריה,זיתן,יגל,כפר חב""ד,כפר טרומן",דקה וחצי
שפלה 175,"גן שורק,ראשון לציון,פלמחים,נטעים",דקה וחצי
שפלה 178,"באר יעקב,רמלה,צריפין,מצליח,ישרש",דקה וחצי
שפלה 179,"בן שמן כפר נוער,בן שמן,ניר צבי,לוד,גינתון,כרם בן שמן,אחיסמך",דקה וחצי
